ID,Date,DateStamp,Total,Type
147,2020-02-01,2020-02-01 04:30:58.417,9304,0
148,2020-02-02,2020-02-02 01:12:50.513,110232,1
149,2020-02-02,2020-02-02 04:30:09.763,0,0
150,2020-02-03,2020-02-03 04:30:08.487,11,0
151,2020-02-04,2020-02-04 04:30:08.993,7,0
152,2020-02-05,2020-02-05 04:30:09.787,8,0
153,2020-02-05,2020-02-05 17:07:54.060,51690,1
154,2020-02-05,2020-02-05 23:43:10.357,-30,1
155,2020-02-06,2020-02-06 04:30:08.537,0,0
156,2020-02-07,2020-02-07 04:30:08.693,11,0
157,2020-02-08,2020-02-08 04:30:08.503,11,0
158,2020-02-09,2020-02-09 04:30:09.440,9,0
159,2020-02-10,2020-02-10 04:30:09.043,7,0
160,2020-02-10,2020-02-10 13:20:12.560,60671,1
161,2020-02-11,2020-02-11 04:30:08.617,7,0
162,2020-02-12,2020-02-12 04:30:09.093,5,0
163,2020-02-13,2020-02-13 04:30:10.270,11,0
164,2020-02-14,2020-02-14 04:30:08.783,5,0
165,2020-02-15,2020-02-15 04:30:05.580,8,0
166,2020-02-15,2020-02-15 15:29:08.753,119050,1
167,2020-02-15,2020-02-15 15:29:12.193,113346,1
168,2020-02-16,2020-02-16 04:30:08.670,8,0
169,2020-02-17,2020-02-17 04:30:05.580,6,0
170,2020-02-17,2020-02-17 14:57:15.373,16482,1
171,2020-02-18,2020-02-18 04:30:05.957,6,0
172,2020-02-19,2020-02-19 04:30:04.973,12,0
173,2020-02-19,2020-02-19 12:40:53.700,41781,1
174,2020-02-20,2020-02-20 04:30:08.117,7,0
175,2020-02-21,2020-02-21 04:30:12.153,6,0
176,2020-02-22,2020-02-22 04:30:04.700,13,0
177,2020-02-23,2020-02-23 04:30:04.497,12,0
178,2020-02-23,2020-02-23 09:26:54.057,47478,1
179,2020-02-24,2020-02-24 04:30:09.117,7,0
180,2020-02-24,2020-02-24 22:09:04.657,16964,1
181,2020-02-25,2020-02-25 04:30:11.667,1,0
182,2020-02-26,2020-02-26 04:30:09.783,7,0
183,2020-02-27,2020-02-27 04:30:07.877,5,0
184,2020-02-27,2020-02-27 23:24:20.877,104049,1
185,2020-02-27,2020-02-27 23:24:25.557,104762,1
186,2020-02-27,2020-02-27 23:24:32.400,97715,1
187,2020-02-27,2020-02-27 23:24:42.400,98893,1
188,2020-02-28,2020-02-28 04:30:16.457,0,0
189,2020-02-29,2020-02-29 04:30:05.787,7,0
190,2020-03-01,2020-03-01 04:30:21.077,690,0
191,2020-03-02,2020-03-02 04:30:06.403,84,0
192,2020-03-03,2020-03-03 04:30:05.767,70,0
193,2020-03-03,2020-03-03 12:05:03.297,58882,1
194,2020-03-04,2020-03-04 04:30:06.150,15,0
195,2020-03-05,2020-03-05 04:30:04.843,17,0
196,2020-03-06,2020-03-06 04:30:05.760,25,0
197,2020-03-07,2020-03-07 04:30:05.873,23,0
198,2020-03-08,2020-03-08 04:30:06.257,18,0
199,2020-03-08,2020-03-08 14:49:42.930,87792,1
200,2020-03-09,2020-03-09 04:30:06.713,5,0
201,2020-03-10,2020-03-10 04:30:05.480,22,0
202,2020-03-11,2020-03-11 04:30:05.820,13,0
203,2020-03-11,2020-03-11 18:44:02.123,43951,1
204,2020-03-12,2020-03-12 04:30:04.930,4,0
205,2020-03-13,2020-03-13 04:30:06.840,16,0
206,2020-03-14,2020-03-14 04:30:06.857,17,0
207,2020-03-15,2020-03-15 04:30:05.327,8,0
208,2020-03-16,2020-03-16 04:30:05.663,13,0
209,2020-03-16,2020-03-16 16:50:11.937,70840,1
210,2020-03-17,2020-03-17 04:30:04.873,2,0
211,2020-03-18,2020-03-18 04:30:05.430,15,0
212,2020-03-19,2020-03-19 04:30:06.030,7,0
213,2020-03-20,2020-03-20 04:30:05.313,15,0
214,2020-03-20,2020-03-20 18:13:13.307,64442,1
215,2020-03-20,2020-03-20 18:13:16.547,63425,1
216,2020-03-21,2020-03-21 04:30:06.047,3,0
217,2020-03-22,2020-03-22 04:30:05.070,21,0
218,2020-03-23,2020-03-23 04:30:05.083,4,0
219,2020-03-24,2020-03-24 04:30:05.840,6,0
220,2020-03-24,2020-03-24 09:53:09.440,0,1
221,2020-03-24,2020-03-24 11:55:44.207,53770,1
222,2020-03-25,2020-03-25 04:30:06.453,11,0
223,2020-03-26,2020-03-26 04:30:05.323,8,0
224,2020-03-27,2020-03-27 04:30:05.387,17,0
225,2020-03-27,2020-03-27 18:53:09.873,54864,1
226,2020-03-28,2020-03-28 04:30:05.203,1,0
227,2020-03-29,2020-03-29 04:30:05.983,7,0
228,2020-03-30,2020-03-30 04:30:12.667,14,0
229,2020-03-30,2020-03-30 12:23:34.610,38416,1
230,2020-03-31,2020-03-31 04:30:06.080,5,0
231,2020-04-01,2020-04-01 04:30:52.100,1826,0
232,2020-04-01,2020-04-01 23:07:54.927,47599,1
233,2020-04-02,2020-04-02 04:30:06.130,1,0
234,2020-04-03,2020-04-03 04:30:05.233,13,0
235,2020-04-04,2020-04-04 04:30:05.440,25,0
236,2020-04-04,2020-04-04 18:12:00.223,36898,1
237,2020-04-04,2020-04-04 18:12:02.820,31887,1
238,2020-04-04,2020-04-04 18:12:10.900,20222,1
239,2020-04-05,2020-04-05 04:30:04.957,3,0
240,2020-04-06,2020-04-06 04:30:06.170,21,0
241,2020-04-06,2020-04-06 09:48:56.087,12382,1
242,2020-04-07,2020-04-07 04:30:06.250,32,0
243,2020-04-07,2020-04-07 17:39:18.833,12207,1
244,2020-04-08,2020-04-08 04:30:07.247,9,0
245,2020-04-09,2020-04-09 04:30:07.200,23,0
246,2020-04-09,2020-04-09 08:58:37.730,16875,1
247,2020-04-10,2020-04-10 04:30:07.300,29,0
248,2020-04-10,2020-04-10 20:01:53.103,14767,1
249,2020-04-11,2020-04-11 04:30:07.283,0,0
250,2020-04-12,2020-04-12 04:30:05.760,29,0
251,2020-04-12,2020-04-12 11:34:28.943,14764,1
252,2020-04-13,2020-04-13 04:30:05.787,10,0
253,2020-04-13,2020-04-13 20:39:56.393,15432,1
254,2020-04-14,2020-04-14 04:30:05.370,0,0
255,2020-04-15,2020-04-15 04:30:06.800,17,0
256,2020-04-15,2020-04-15 16:40:59.953,26488,1
257,2020-04-15,2020-04-15 16:52:54.360,8,1
258,2020-04-16,2020-04-16 04:30:06.080,6,0
259,2020-04-16,2020-04-16 23:26:01.097,12264,1
260,2020-04-17,2020-04-17 04:30:06.740,0,0
261,2020-04-18,2020-04-18 04:30:06.230,23,0
262,2020-04-18,2020-04-18 15:15:32.777,10317,1
263,2020-04-19,2020-04-19 04:30:05.400,5,0
264,2020-04-19,2020-04-19 15:34:35.150,1727,1
265,2020-04-20,2020-04-20 04:30:06.163,7,0
266,2020-04-20,2020-04-20 16:08:18.033,1420,1
267,2020-04-21,2020-04-21 04:30:06.083,5,0
268,2020-04-21,2020-04-21 18:12:41.423,4664,1
269,2020-04-22,2020-04-22 04:30:04.847,4,0
270,2020-04-22,2020-04-22 22:52:43.557,11897,1
271,2020-04-23,2020-04-23 04:30:06.673,1,0
272,2020-04-24,2020-04-24 04:30:05.557,25,0
273,2020-04-24,2020-04-24 12:46:49.853,10374,1
274,2020-04-25,2020-04-25 04:30:07.547,156,0
275,2020-04-25,2020-04-25 17:06:08.080,6927,1
276,2020-04-26,2020-04-26 04:30:05.370,5,0
277,2020-04-26,2020-04-26 17:17:11.223,1614,1
278,2020-04-27,2020-04-27 04:30:13.240,3,0
